Run,Model,Accuracy
174,SVM (RBF),1.0
175,SVM (RBF),0.9895287958115183
176,SVM (RBF),0.9842931937172775
177,SVM (RBF),0.9869109947643979
178,SVM (RBF),0.9947643979057592
179,SVM (RBF),0.9947643979057592
180,SVM (RBF),0.9842931937172775
181,SVM (RBF),0.9973821989528796
182,SVM (RBF),0.9973821989528796
183,SVM (RBF),0.9947643979057592
184,SVM (RBF),0.9947643979057592
185,Random Forest,0.9842931937172775
186,SVM (RBF),0.9842931937172775
187,Random Forest,0.9764397905759162
188,SVM (RBF),0.981675392670157
189,SVM (RBF),0.9842931937172775
190,SVM (RBF),0.981675392670157
191,SVM (RBF),0.9842931937172775
192,Random Forest,0.981675392670157
193,SVM (RBF),0.9869109947643979
194,SVM (RBF),0.9869109947643979
195,SVM (RBF),0.9869109947643979
196,SVM (RBF),0.9921465968586387
197,SVM (RBF),0.9973821989528796
198,SVM (RBF),0.9895287958115183
199,SVM (RBF),0.9895287958115183
200,SVM (RBF),0.9869109947643979
201,SVM (RBF),0.9895287958115183
202,SVM (RBF),0.9790575916230366
203,SVM (RBF),0.9869109947643979
204,Random Forest,0.9842931937172775
205,SVM (RBF),0.9790575916230366
206,SVM (RBF),0.9869109947643979
207,SVM (RBF),0.9869109947643979
208,SVM (RBF),0.9869109947643979
209,SVM (RBF),0.9842931937172775
210,SVM (RBF),0.9895287958115183
211,SVM (RBF),0.981675392670157
212,XGBoost,0.981675392670157
213,SVM (RBF),0.9842931937172775
214,Random Forest,0.9790575916230366
215,Random Forest,0.981675392670157
216,Random Forest,0.9712041884816754
217,SVM (RBF),0.9842931937172775
218,Random Forest,0.9842931937172775
219,SVM (RBF),0.9869109947643979
220,SVM (RBF),0.9842931937172775
221,SVM (RBF),0.9790575916230366
222,SVM (RBF),0.9895287958115183
223,SVM (RBF),0.9869109947643979
224,SVM (RBF),0.9895287958115183
225,SVM (RBF),0.9895287958115183
226,Random Forest,0.9738219895287958
227,SVM (RBF),0.981675392670157
228,SVM (RBF),0.9842931937172775
229,Random Forest,0.9869109947643979
230,SVM (RBF),0.9921465968586387
231,SVM (RBF),0.9764397905759162
232,SVM (RBF),0.9895287958115183
233,Random Forest,0.9842931937172775
234,SVM (RBF),0.9842931937172775
235,SVM (RBF),0.9790575916230366
236,SVM (RBF),0.9895287958115183
237,SVM (RBF),0.9921465968586387
238,SVM (RBF),0.9921465968586387
239,SVM (RBF),0.9895287958115183
240,SVM (RBF),0.9895287958115183
241,SVM (RBF),0.9869109947643979
242,SVM (RBF),0.9869109947643979
243,Random Forest,0.9895287958115183
244,SVM (RBF),0.9790575916230366
245,SVM (RBF),0.9973821989528796
246,SVM (RBF),0.9947643979057592
247,SVM (RBF),0.9895287958115183
248,Random Forest,0.9895287958115183
249,SVM (RBF),0.9895287958115183
250,SVM (RBF),0.9895287958115183
251,SVM (RBF),0.9895287958115183
252,Random Forest,0.9764397905759162
